38,48,Old Dominionÿ9,27,7,0.8238,108.9,65,93.7,42,61.4,331,0.059,42,0.5661,103,103.8,90,101.4,139,0.5845,94
39,37,Penn St.ÿ10,19,15,0.848,112.9,30,95.5,60,60.4,341,0.037,85,0.8318,2,110.3,1,96,3,0.5447,131
40,4,Pittsburghÿ1,28,6,0.94,119.8,5,91.6,25,63.1,313,-0.022,236,0.7125,37,106,37,98,32,0.4433,223
41,84,Princetonÿ13,25,7,0.6948,105.3,100,97.2,76,63.8,300,0.091,15,0.473,170,102.3,139,103.3,223,0.5583,117
42,9,Purdueÿ3,26,8,0.9311,115.3,19,89.5,12,67.1,149,0.008,158,0.7751,13,107.9,15,96.9,10,0.5298,142
43,43,Richmondÿ12,29,8,0.8385,111.5,44,95,54,62.9,320,0.053,50,0.5851,93,103.3,100,100.2,92,0.5996,85
44,8,San Diego St.ÿ2,34,3,0.9336,113.5,26,87.7,3,63.8,301,0.059,41,0.7083,39,106.3,33,98.4,45,0.6614,46
45,42,St. John'sÿ6,21,12,0.8404,110.4,52,93.9,44,67.3,136,0.047,61,0.7841,11,108.8,10,97.3,14,0.6029,83
46,125,St. Peter'sÿ14,20,14,0.5719,93.5,286,90.9,19,65.7,220,0.074,25,0.5067,147,101.3,174,101,113,0.6535,50
47,11,Syracuseÿ3,27,8,0.9225,115.1,20,90.4,16,66.5,177,0.033,94,0.7469,20,107.2,23,97.6,21,0.4673,202
48,38,Templeÿ7,26,8,0.8443,110.1,54,93.3,38,65,254,0.014,144,0.6205,75,104,83,99.7,79,0.7071,28
49,64,Tennesseeÿ9,19,15,0.7753,106.8,84,94.7,50,67.3,135,-0.013,211,0.764,16,107.8,18,97.3,15,0.713,26
50,51,Texas A&Mÿ7,24,9,0.8152,108.2,69,93.7,41,62.2,326,0.051,55,0.6484,65,104.5,73,99,60,0.3484,304
51,218,Texas San Antonioÿ16,20,14,0.3488,99.8,196,106.1,244,67.5,120,0.086,19,0.3523,282,99,270,104.4,285,0.5003,172
52,5,Texasÿ4,28,8,0.9397,114.6,21,87.6,2,66.9,155,-0.058,307,0.7204,31,106.4,31,98,34,0.6143,77
53,145,UC Santa Barbaraÿ15,18,14,0.54,101.4,166,99.9,122,65.4,237,0.002,174,0.514,143,102.6,128,102.1,162,0.7265,23
54,54,UCLAÿ7,23,11,0.8083,107.2,79,93.2,37,66.6,173,0.033,96,0.7031,42,106.3,32,98.7,53,0.6144,76
55,20,Utah St.ÿ12,30,4,0.8927,109.8,56,89.3,10,63.7,306,0.034,90,0.4982,155,102.2,143,102.3,170,0.4863,183
56,35,Vanderbiltÿ5,23,11,0.8569,116.5,13,97.8,88,67.3,137,-0.05,296,0.6985,44,105.3,51,97.8,30,0.5898,91
57,33,Villanovaÿ9,21,12,0.8598,113.6,24,95.2,55,66.1,204,-0.04,276,0.7464,21,107.1,24,97.5,20,0.5107,168
58,52,Virginia Commonwealthÿ11,28,12,0.8122,112.7,32,97.7,86,66.2,196,0.021,129,0.6465,67,104.5,72,99.2,65,0.7222,25
59,17,Washingtonÿ7,24,11,0.9034,117.8,8,94.7,51,71.1,23,-0.099,334,0.7136,36,105.8,41,97.8,25,0.6299,60
60,21,West Virginiaÿ5,21,12,0.8884,114,23,93.1,36,63.8,299,-0.018,226,0.8179,4,110.1,3,96.6,6,0.7458,18
61,7,Wisconsinÿ4,25,9,0.9341,123.3,2,95.2,56,58,344,-0.003,192,0.7869,10,109.1,8,97.4,19,0.5561,121
62,82,Woffordÿ14,21,13,0.7022,111,49,102.1,169,64.7,267,-0.024,241,0.4801,164,102.4,135,103.1,217,0.7035,29
63,45,Xavierÿ6,24,8,0.8368,111.8,41,95.3,59,65.9,212,0.037,86,0.633,71,104,84,99.1,63,0.701,30
